TIME,TIMECORR,PDCSAP_FLUX,PDCSAP_FLUX_ERR
2061.326264,0.004988796,38455.457,7.0031042
2061.346697,0.004987391,38444.137,7.0066695
2061.367129,0.004985987,38517.227,7.0024343
2061.387561,0.004984582,38521.441,7.007585
2061.407993,0.004983176,38517.824,7.0051751
2061.428426,0.00498177,38490.586,7.0048776
2061.448858,0.004980364,38361.6955,
2061.46929,0.004978957,38232.805,7.133872
2061.489722,0.00497755,38247.254,7.1374135
2061.510154,0.004976142,38240.906,7.1376181
2061.530586,0.004974734,38232.277,7.1378837
2061.551019,0.004973325,38230.734,7.133709
2061.571451,0.004971916,38218.164,7.1335931
2061.591883,0.004970506,38224.488,7.1354218
2061.612315,0.004969096,38221.551,7.1331768
2061.632747,0.004967686,38234.555,7.1345305
2061.65318,0.004966275,38248.199,7.1350579
2061.673612,0.004964863,38262.57,7.1363864
2061.694044,0.004963452,38262.605,7.1350718
2061.714476,0.004962039,38263.805,7.1354494
2061.734908,0.004960626,38274.484,7.1376529
2061.755341,0.004959213,38291.773,7.1409311
2061.775773,0.004957799,38294.191,7.1404161
2061.796205,0.004956385,38306.523,7.1435466
2061.816637,0.00495497,38289.699,7.1434565
2061.837069,0.004953556,38322.777,7.1466117
2061.857502,0.00495214,38313.695,7.1458135
2061.877934,0.004950724,38306.926,7.1475854
2061.898366,0.004949308,38319.832,7.147161
2061.918798,0.004947891,38320.367,7.1459007
2061.93923,0.004946474,38318.074,7.1481566
2061.959662,0.004945056,38355.52,7.1511636
2061.980095,0.004943638,38343.438,7.1495023
2062.000527,0.004942219,38351.949,7.1526327
2062.020959,0.004940799,38378.59,7.1537542
2062.041391,0.00493938,38332.562,7.1526227
2062.061823,0.00493796,38359.918,7.1528802
2062.082256,0.00493654,38364.809,7.153409
2062.102688,0.004935118,38380.648,7.1548266
2062.12312,0.004933697,38377.168,7.1564679
2062.143552,0.004932275,38389.832,7.1568928
2062.163984,0.004930853,38410.863,7.1573691
2062.184417,0.00492943,38399.2325,
2062.204849,0.004928007,38387.602,7.1283479
2062.225281,0.004926583,38379.93,7.1317248
2062.245713,0.004925159,38388.402,7.1350703
2062.266145,0.004923735,38384.191,7.1339383
2062.286577,0.004922309,38393.473,7.1320791
2062.30701,0.004920884,38411.969,7.1340785
2062.327442,0.004919458,38459.098,7.1331043
2062.347874,0.004918032,38472.488,7.1411238
2062.368306,0.004916605,38466.508,7.1442261
2062.388738,0.004915178,38471.168,7.143631
2062.409171,0.00491375,38468.016,7.144218
2062.429603,0.004912322,38457.32,7.144845
2062.450035,0.004910893,38448.559,7.1476994
2062.470467,0.004909464,38460.098,7.1441312
2062.490899,0.004908035,38454.035,7.1453261
2062.511331,0.004906605,38444.52,7.1463265
2062.531763,0.004905174,38464.848,7.148849
2062.552196,0.004903744,38482.848,7.1525984
2062.572628,0.004902312,38455.738,7.1492605
2062.59306,0.00490088,38475.141,7.1498985
2062.613492,0.004899448,38452.457,7.1535673
2062.633924,0.004898015,38463.32,7.1531954
2062.654357,0.004896582,38484.055,7.15587
2062.674789,0.004895149,38484.113,7.1556544
2062.695221,0.004893715,38487.348,7.1567445
2062.715653,0.00489228,38493.887,7.1581917
2062.736085,0.004890845,38504.367,7.1580982
2062.756517,0.00488941,38506.84,7.1591482
2062.77695,0.004887974,38511.445,7.160511
2062.797382,0.004886538,38536.242,7.1617055
2062.817814,0.004885101,38542.055,7.1641636
2062.838246,0.004883664,38535.645,7.1625953
2062.858678,0.004882226,38543.113,7.1657214
2062.87911,0.004880788,38552.184,7.1667051
2062.899543,0.00487935,38557.102,7.1677232
2062.919975,0.004877911,38602.746,7.1681724
2062.940407,0.004876472,38615.906,7.1667962
2062.960839,0.004875032,38609.188,7.1700468
2062.981271,0.004873591,38586.996,7.1683717
2063.001703,0.004872151,38605.199,7.1682982
2063.022135,0.004870709,38596.141,7.1676087
2063.042568,0.004869268,38596.336,7.167408
2063.063,0.004867826,38577.332,7.1676555
2063.083432,0.004866384,38594.645,7.1697211
2063.103864,0.00486494,38610.648,7.1696525
2063.124296,0.004863497,38605.395,7.1720519
2063.144728,0.004862053,38607.723,7.1743693
2063.165161,0.004860609,38613.93,7.1735573
2063.185593,0.004859164,38607.203,7.1731539
2063.206025,0.004857719,38608.234,7.1720967
2063.226457,0.004856274,38616.891,7.1715102
2063.246889,0.004854827,38619.805,7.1719294
2063.267321,0.004853381,38621.684,7.17378
2063.287754,0.004851934,38614.008,7.173749
2063.308186,0.004850486,38632.633,7.1727524
