TIME,TIMECORR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,flux_n,flux_n-median
2062.879132,0.00490255,39605.145,7.3020372,0.020871164,-0.000196517
2062.899564,0.004901113,39591.902,7.296957,0.02086272,-0.000204961
2062.919996,0.004899676,39650.676,7.313848,0.020900196,-0.000167485
2062.940429,0.004898239,39634.59,7.3006768,0.020889939,-0.000177742
2062.960861,0.004896801,39620.031,7.2976928,0.020880656,-0.000187025
2062.981293,0.004895363,39623.59,7.2985296,0.020882925,-0.000184756
2063.001725,0.004893925,39626.137,7.3117485,0.020884549,-0.000183132
2063.022157,0.004892485,39625.895,7.3098559,0.020884395,-0.000183286
2063.042589,0.004891045,39653.59,7.3073606,0.020902055,-0.000165627
2063.063022,0.004889606,39599.922,7.3000135,0.020867834,-0.000199848
2063.083454,0.004888165,39603.32,7.2993431,0.02087,-0.000197681
2063.103886,0.004886724,39557.598,7.296339,0.020840846,-0.000226835
2063.124318,0.004885283,39567.953,7.2987866,0.020847449,-0.000220232
2063.14475,0.004883841,39613.316,7.3017597,0.020876374,-0.000191307
2063.165182,0.004882399,39601.656,7.3062148,0.020868939,-0.000198742
2063.185615,0.004880956,39603.656,7.3085012,0.020870215,-0.000197467
2063.206047,0.004879512,39539.43,7.3036399,0.020829262,-0.00023842
2063.226479,0.004878069,39529.719,7.3040748,0.02082307,-0.000244612
2063.246911,0.004876625,39562.148,7.3132544,0.020843748,-0.000223934
2063.267343,0.00487518,39535.754,7.3071952,0.020826918,-0.000240764
2063.287775,0.004873735,39488.445,7.303874,0.020796752,-0.00027093
2063.308207,0.00487229,39572.035,7.3191671,0.020850052,-0.000217629
2063.32864,0.004870844,39584.5,7.3222318,0.020858,-0.000209681
2063.349072,0.004869398,39568.371,7.3083758,0.020847716,-0.000219966
2063.369504,0.004867951,39543.637,7.3081713,0.020831944,-0.000235737
2063.389936,0.004866504,39505.105,7.3075624,0.020807375,-0.000260307
2063.410368,0.004865056,39509.211,7.3013134,0.020809993,-0.000257688
2063.4308,0.004863608,39479.094,7.3080311,0.020790789,-0.000276892
2063.451233,0.004862159,39456.824,7.3102388,0.020776589,-0.000291093
2063.471665,0.00486071,39458.137,7.3134904,0.020777426,-0.000290255
2063.492097,0.004859261,39425.723,7.3021889,0.020756758,-0.000310924
2063.512529,0.004857811,39434.066,7.3029814,0.020762077,-0.000305604
2063.532961,0.004856361,39369.262,7.2992907,0.020720756,-0.000346925
2063.553393,0.00485491,39382.012,7.3020768,0.020728886,-0.000338796
2063.573826,0.004853459,39354.352,7.3031974,0.020711249,-0.000356433
2063.594258,0.004852007,39382.344,7.3040609,0.020729097,-0.000338584
2063.61469,0.004850555,39355.711,7.2978802,0.020712115,-0.000355566
2063.635122,0.004849102,39420.926,7.3115053,0.020753699,-0.000313982
2063.655554,0.004847649,39363.8925,,0.020717332,-0.000350349
2063.675986,0.004846196,39306.859,7.2796426,0.020680965,-0.000386716
2063.696419,0.004844742,39291.289,7.2746201,0.020671037,-0.000396644
2063.716851,0.004843288,39186.188,7.2674456,0.020604021,-0.000463661
2063.737283,0.004841833,39196.703,7.2828641,0.020610725,-0.000456956
2063.757715,0.004840378,39195.23,7.2864609,0.020609786,-0.000457895
2063.778147,0.004838922,39202.129,7.2804112,0.020614185,-0.000453496
2063.798579,0.004837466,39177.145,7.2797036,0.020598255,-0.000469427
2063.819011,0.004836009,39215.355,7.2886028,0.020622619,-0.000445063
2063.839443,0.004834552,39126.031,7.2661457,0.020565662,-0.000502019
2063.859876,0.004833095,39145.434,7.2784457,0.020578034,-0.000489647
2063.880308,0.004831637,39129.629,7.2751431,0.020567956,-0.000499725
2063.90074,0.004830179,39101.879,7.2727375,0.020550262,-0.000517419
2063.921172,0.00482872,39217.008,7.2892318,0.020623673,-0.000444009
2063.941604,0.004827261,39190.332,7.277,0.020606663,-0.000461018
2063.962036,0.004825801,39216.543,7.286478,0.020623376,-0.000444305
2063.982469,0.004824341,39190.043,7.2855239,0.020606479,-0.000461203
2064.002901,0.00482288,39096.652,7.2802653,0.020546929,-0.000520752
2064.023333,0.00482142,39230.75,7.2930961,0.020632435,-0.000435246
2064.043765,0.004819958,39297.91,7.2919703,0.020675259,-0.000392422
2064.064197,0.004818496,39250.559,7.2934713,0.020645066,-0.000422615
2064.084629,0.004817034,39221.902,7.2908707,0.020626793,-0.000440888
2064.105061,0.004815571,39129.426,7.2801614,0.020567827,-0.000499854
2064.125493,0.004814108,38124.79225,,0.007452005,-0.013615676
2064.145926,0.004812645,37120.1585,,0.019286639,-0.001781042
2064.166358,0.00481118,36115.52475,,0.031121274,0.010053592
2064.18679,0.004809716,35110.891,3.866709,0.018005452,-0.00306223
2064.207222,0.004808251,35292.41,3.8991117,0.018121195,-0.002946486
2064.227654,0.004806786,35317.8535,,0.018137419,-0.002930262
2064.248086,0.00480532,35343.297,3.8808963,0.018153643,-0.002914039
2064.268518,0.004803854,35761.418,4.2036915,0.018420253,-0.002647428
2064.288951,0.004802387,36441.867,3.6164734,0.018854134,-0.002213547
2064.309383,0.00480092,36077.023,4.1493316,0.018621495,-0.002446186
2064.329815,0.004799452,36030.34,4.2278705,0.018591728,-0.002475953
2064.350247,0.004797984,36481.738,3.9886863,0.018879557,-0.002188124
2064.370679,0.004796516,36721.90636,,0,-0.021067681
2064.391111,0.004795047,36962.07473,,0.004382629,-0.016685052
2064.411543,0.004793578,37202.24309,,0.008765258,-0.012302423
2064.431975,0.004792108,37442.41145,,0.013147888,-0.007919794
2064.452408,0.004790638,37682.57982,,0.017530517,-0.003537164
2064.47284,0.004789167,37922.74818,,0.021913146,0.000845465
2064.493272,0.004787696,38162.91655,,0.026295775,0.005228094
2064.513704,0.004786225,38403.08491,,0.030678405,0.009610723
2064.534136,0.004784753,38643.25327,,0.035061034,0.013993353
2064.554568,0.00478328,38883.42164,,0.039443663,0.018375982
2064.575,0.004781807,39123.59,7.2910013,0.020564106,-0.000503576
2064.595433,0.004780334,39140.48,7.2925224,0.020574875,-0.000492806
2064.615865,0.004778861,39160.434,7.2959046,0.020587599,-0.000480082
2064.636297,0.004777386,39191.855,7.3000817,0.020607634,-0.000460047
2064.656729,0.004775912,39153.902,7.2905097,0.020583434,-0.000484247
2064.677161,,39153.83775,,0.008100361,-0.01296732
2064.697593,,39153.7735,,0.020583352,-0.000484329
2064.718025,,39153.70925,,0.033066343,0.011998661
2064.738457,0.004770009,39153.645,7.2942138,0.02058327,-0.000484411
