TIME,TIMECORR,PDCSAP_FLUX,PDCSAP_FLUX_ERR
2061.325812,0.00453674,24362.139,6.0783525
2061.346244,0.0045352,24351.82,6.0814776
2061.366676,0.00453366,24332.557,6.0769134
2061.387109,0.00453211,24343.57,6.0753732
2061.407541,0.00453057,24316.379,6.0733824
2061.427973,0.00452902,24294.857,6.0727754
2061.448405,0.00452748,24441.816,
2061.468837,0.00452593,24588.775,6.1316733
2061.489269,0.00452439,24558.053,6.1310978
2061.509701,0.00452284,24555.67,6.1261206
2061.530133,0.00452129,24548.162,6.1256809
2061.550565,0.00451975,24534.594,6.1273808
2061.570997,0.0045182,24544.027,6.1284523
2061.591429,0.00451665,24501.275,6.1249881
2061.611861,0.0045151,24491.381,6.1242929
2061.632293,0.00451355,24494.768,6.1215901
2061.652725,0.004512,24476.461,6.1209135
2061.673157,0.00451045,24461.324,6.1228719
2061.693589,0.0045089,24453.861,6.120584
2061.714022,0.00450735,24426.379,6.118361
2061.734454,0.0045058,24414.215,6.1245313
2061.754886,0.00450425,24388.041,6.1143651
2061.775318,0.0045027,24361.16,6.1104531
2061.79575,0.00450115,24334.113,6.1117811
2061.816182,0.0044996,24285.799,6.1078162
2061.836614,0.00449804,24270.242,6.1062322
2061.857046,0.00449649,24232.549,6.1065183
2061.877478,0.00449494,24224.379,6.1089554
2061.89791,0.00449338,24217.449,6.108047
2061.918342,0.00449183,24175.84,6.1040735
2061.938774,0.00449027,24127.24,6.0996532
2061.959206,0.00448872,24105.9,6.0935388
2061.979638,0.00448716,24100.838,6.0920372
2062.00007,0.00448561,24054.227,6.0939031
2062.020502,0.00448405,24074.057,6.0922546
2062.040934,0.00448249,24145.6615,
2062.061366,0.00448093,24217.266,6.1135235
2062.081798,0.00447938,24058.766,6.0942392
2062.10223,0.00447782,23965.166,6.0882802
2062.122663,0.00447626,23910.486,6.0872111
2062.143095,0.0044747,23940.979,6.0870509
2062.163527,0.00447314,23933.998,6.0852556
2062.183959,0.00447158,23863.8535,
2062.204391,0.00447002,23793.709,6.0906992
2062.224823,0.00446846,23751,6.0881381
2062.245255,0.0044669,23709.6,6.0856147
2062.265687,0.00446534,23701.746,6.0862136
2062.286119,0.00446378,23687.385,6.0851746
2062.306551,0.00446222,23666.15,6.0813875
2062.326983,0.00446065,23663.928,6.085526
2062.347415,0.00445909,23632.527,6.0816374
2062.367847,0.00445753,23623.416,6.0842953
2062.388279,0.00445596,23618.912,6.0826383
2062.408711,0.0044544,25428.068,6.1877613
2062.429143,0.00445283,24760.5625,6.2857952
2062.449575,0.00445127,24093.057,6.1149998
2062.470007,0.0044497,23711.277,6.0885792
2062.490439,0.00444814,23599.129,6.0842285
2062.510871,0.00444657,23539.363,6.0759187
2062.531303,0.00444501,23505.271,6.078311
2062.551735,0.00444344,23499.037,6.074039
2062.572167,0.00444187,23490.367,6.0710988
2062.592599,0.0044403,23472.328,6.0730119
2062.613031,0.00443873,23468.217,6.0697045
2062.633463,0.00443717,23466.361,6.0720401
2062.653896,0.0044356,23453.449,6.0669389
2062.674327,0.00443403,23443.305,6.0713806
2062.69476,0.00443246,23452.422,6.0712514
2062.715192,0.00443089,23444.561,6.07197
2062.735624,0.00442932,23440.732,6.0703573
2062.756056,0.00442775,23451.064,6.0729432
2062.776488,0.00442618,23459.518,6.0705814
2062.79692,0.0044246,23439.574,6.0739861
2062.817352,0.00442303,23424.311,6.0659103
2062.837784,0.00442146,23437.672,6.0635524
2062.858216,0.00441989,23440.846,6.0634174
2062.878648,0.00441831,23437.5,6.061667
2062.89908,0.00441674,23571.775,6.0704889
2062.919512,0.00441516,23571.012,6.0688953
2062.939944,0.00441359,23506.691,6.0611897
2062.960376,0.00441202,23482.762,6.0579371
2062.980808,0.00441044,23493.273,6.0595007
2063.00124,0.00440886,23502.16,6.062736
2063.021672,0.00440729,23510.576,6.0582533
2063.042104,0.00440571,23518.588,6.0574551
2063.062536,0.00440414,23503.23,6.0610805
2063.082968,0.00440256,23526.762,6.062861
2063.1034,0.00440098,23538.732,6.0621109
2063.123832,0.0043994,23545.52,6.057322
2063.144264,0.00439782,23551.658,6.0570745
