EPIC number,Q_value,sigma_resid,sigma_raw,Period,M_value
02204278916,0.9522011885827983,2227.239905244572,2282.4571846334843,3.5329545454031344,0.06871975323544444
15204278916,0.8201614465175666,638.8943996684197,705.4713902595743,3.6659722221688757,0.021587334622510147
203318214,0.4864753298161123,1468.7906561284713,2105.859976014217,4.090789473624682,0.13915328570090132
203440253,0.5039813709928472,221.11354801390922,311.4641827420525,7.065909090806269,0.08603423800852625
203806628,0.8607511492361433,2267.6314091685476,2444.182657085991,7.065909090806269,0.03377322200224019
203895983,0.7482413445983397,2662.234043907751,3077.6936032405783,2.4289062499646548,0.003828235744418181
203912674,0.8730877526549383,161.68514781714882,173.03787773455792,5.181666666591264,-0.01059386960207281
203913804,0.8409956996047863,3636.0442388110505,3964.9002984365134,11.10357142840985,0.17072172694852772
203969672,0.8561804519153166,211.76636704404956,228.86233901032492,4.8578124999293095,0.034145832483607814
203981774,0.36185125010624364,399.82087897982524,664.6613585711309,0.8268617021156272,-0.09718054780164075
204398857,0.12223769887300658,410.515072082741,1174.1579528769012,12.954166666478159,0.0467303517474117
205038557,0.33388993654616533,232.0221854990805,401.53910666522506,3.886249999943448,-0.03765189034530308
205179845,0.7527279885763111,404.6311851965283,466.380430282738,2.590833333295632,0.015648000046712265
